"post_id","additional_short_info","additional_info","is_closed","cinema_image_id","number_of_cinemas","number_of_cinema_halls","number_of_seats","offer_3d","program_announcement_telephone_number","ticket_ordering_hotline","ticket_ordering_url","directions","parking_place","prices","geo_degree_of_latitude","geo_degree_of_longitude","spc_id","ID","post_author","post_date","post_date_gmt","post_content","post_title","post_excerpt","post_status","comment_status","ping_status","post_password","post_name","to_ping","pinged","post_modified","post_modified_gmt","post_content_filtered","post_parent","guid","menu_order","post_type","post_mime_type","comment_count","import_source"
3995442,,,n,,,,,y,"030-93030260","030-93030260",http://www.uci-kinowelt.de/Berlin_am_Eastgate/Programm,,,,52.54182280,13.54099410,,3995442,1,1999-11-26 12:00:00.000,1999-11-26 13:00:00.000,<p>United Cinemas International (UCI) betreibt Kinos in Gro,UCI am Eastgate,"",publish,open,closed,"",uci-kinowelt-am-eastgate,"","",2022-02-04 21:37:18.000,2022-02-04 20:37:18.000,"",0,http://relaunch.kino.de/?company=uci-kinowelt-am-eastgate,0,company,"",0,
3995443,,,n,,,,,n,,,,,,,53.14208890,8.21794430,,3995443,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Mobiles Kino Niedersachsen,"",publish,open,closed,"",mobiles-kino-niedersachsen,"","",2022-02-04 21:36:11.000,2022-02-04 20:36:11.000,"",0,http://relaunch.kino.de/?company=mobiles-kino-niedersachsen,0,company,"",0,
3995447,,,n,,,,,n,,,,,,,52.45719100,13.29239800,,3995447,1,2001-02-12 12:00:00.000,2001-02-12 13:00:00.000,"",filmbuehne-museum,"",publish,open,closed,"",filmbuehne-museum,"","",2015-06-02 11:37:19.000,2015-06-02 09:37:19.000,"",0,http://relaunch.kino.de/?company=filmbuehne-museum,0,company,"",0,
3995449,,,n,,,,,n,,"0 71 32/24 10",http://www.kinostar.com,Neckarsulm Bahnhof oder Neckarsulm Marktstra,Parkhaus in unmittelbarer N,Di Kinotag,49.19245490,9.22595810,,3995449,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Kinostar Neckarsulm,"",publish,open,closed,"",kinostar-neckarsulm,"","",2022-03-01 17:30:36.000,2022-03-01 16:30:36.000,"",0,http://relaunch.kino.de/?company=kinostar-neckarsulm,0,company,"",0,
3995450,,,n,9694667,,,,n,,"06421-889772",,möglich,vorhanden,,50.81946460,8.77100640,,3995450,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Traumakino im g-werk,"",publish,open,closed,"",traumakino-im-g-werk,"","",2017-11-16 11:36:03.000,2017-11-16 10:36:03.000,"",0,http://relaunch.kino.de/?company=traumakino-im-g-werk,0,company,"",0,
3995451,,,n,,,,,y,,"0741/8100",,,,,48.16814920,8.62914290,,3995451,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Central-Kino-Rottweil,"",publish,open,closed,"",central-kino-rottweil,"","",2015-06-02 11:37:19.000,2015-06-02 09:37:19.000,"",0,http://relaunch.kino.de/?company=central-kino-rottweil,0,company,"",0,
3995452,,,n,,,,,y,"04421-755655","04421-755655",http://www.uci-kinowelt.de/Wilhelmshaven/Programm,,Geb,,53.51955050,8.11472000,,3995452,1,2000-07-27 12:00:00.000,2000-07-27 13:00:00.000,"",UCI Wilhelmshaven,"",publish,open,closed,"",uci-kinowelt-wilhelmshaven,"","",2022-02-04 21:37:41.000,2022-02-04 20:37:41.000,"",0,http://relaunch.kino.de/?company=uci-kinowelt-wilhelmshaven,0,company,"",0,
3995453,,,n,,,,,y,,,,direkt am Hauptbahnhof,Parkhaus,,51.22140430,6.79387840,,3995453,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",UFA-Palast Düsseldorf,"",publish,open,closed,"",ufa-palast-duesseldorf,"","",2016-11-08 08:35:57.000,2016-11-08 07:35:57.000,"",0,http://relaunch.kino.de/?company=ufa-palast-duesseldorf,0,company,"",0,
3995454,,,n,,,,,n,"08382-73330",,,,,,47.55074240,9.72197970,,3995454,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Club Vaudeville,"",publish,open,closed,"",club-vaudeville,"","",2015-06-02 11:37:19.000,2015-06-02 09:37:19.000,"",0,http://relaunch.kino.de/?company=club-vaudeville,0,company,"",0,
3995455,,,n,,,,,y,"03496-212390",,http://www.cine-circus.de,Ja,Ja,"Montag ""Superkinotag"" ganztags 4,50?;
Dienstag bis Donnerstag ganztags 6,50?;
Freitag bis Sonntag ganztags 7,00?;
Kinder bis 11 Jahre t",51.75156340,11.98187940,,3995455,1,1999-01-18 12:00:00.000,1999-01-18 13:00:00.000,"",Cine Circus,"",publish,open,closed,"",cine-circus-2,"","",2015-06-02 11:37:19.000,2015-06-02 09:37:19.000,"",0,http://relaunch.kino.de/?company=cine-circus-2,0,company,"",0,
3995459,,,n,,,,,y,"02371-774444","02371/774401",https://www.kinoheld.de,,"City Parkhaus, 540 Pl",,51.37641300,7.69622450,,3995459,1,2001-02-12 12:00:00.000,2001-02-12 13:00:00.000,"",Filmpalast Iserlohn,"",publish,open,closed,"",filmpalast-iserlohn,"","",2022-03-12 12:30:26.000,2022-03-12 11:30:26.000,"",0,http://relaunch.kino.de/?company=filmpalast-iserlohn,0,company,"",0,
3995460,,,n,,,,,y,"040-88182182","040-88182182",http://www.uci-kinowelt.de/HH_Othmarschen_Park/Programm,,Parken kann man direkt im benachbarten Parkhaus,,53.55774910,9.89994410,,3995460,1,1999-11-26 12:00:00.000,1999-11-26 13:00:00.000,<p>United Cinemas International (UCI) betreibt Kinos in Gro,UCI Othmarschen Park,"",publish,open,closed,"",uci-kinowelt-othmarschen-park,"","",2022-02-04 21:37:19.000,2022-02-04 20:37:19.000,"",0,http://relaunch.kino.de/?company=uci-kinowelt-othmarschen-park,0,company,"",0,
3995463,,,n,,,,,n,"0331-7437030","0331-7437020",,"S-Bahn Babelsberg, Strassenbahn Linie 94+99",in der Umgebung,"9 ? / 7? erm",52.39173970,13.09544390,,3995463,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Thalia Programm Kino,"",publish,open,closed,"",thalia-programm-kino,"","",2015-06-02 11:37:19.000,2015-06-02 09:37:19.000,"",0,http://relaunch.kino.de/?company=thalia-programm-kino,0,company,"",0,
3995464,,,n,,,,,y,"0461-7070333","0461-7070333",http://www.uci-kinowelt.de/Flensburg/Programm,,Geb,,54.78564020,9.43725380,,3995464,1,2000-07-27 12:00:00.000,2000-07-27 13:00:00.000,"",UCI Flensburg,"",publish,open,closed,"",uci-kinowelt-flensburg,"","",2022-02-04 21:37:42.000,2022-02-04 20:37:42.000,"",0,http://relaunch.kino.de/?company=uci-kinowelt-flensburg,0,company,"",0,
