post_id,spc_id
3995442,1220
3995443,16278
3995449,2426
3995450,1678
3995451,1737
3995452,1276
3995453,1234
3995454,1896
3995455,1750
3995459,1426
3995460,1229
3995463,2812
3995464,1272
3995466,2251
3995469,1924
3995471,2567
3995474,1605
3995475,1230
3995477,2195
3995482,947
3995485,1356
3995486,936
3995488,16171
3995490,2864
3995492,1279
3995493,1417
3995495,1921
3995498,2441
3995505,1366
3995506,2019
3995509,3298
3995510,834
3995511,2872
3995512,16229
3995514,2530
3995515,2479
3995516,872
3995517,2850
3995519,2802
3995520,16066
3995523,2869
3995527,938
3995529,2889
3995532,1415
3995533,927
3995534,2901
3995544,2714
3995545,2552
3995546,2134
3995549,2677
3995553,1378
3995556,1361
3995560,2505
3995563,2334
3995565,995
3995571,1396
3995572,2429
3995574,1962
3995575,2126
3995578,2636
3995580,1588
3995584,1274
3995585,16264
3995589,1041
3995591,919
3995593,2593
3995594,2604
3995598,3358
3995602,1358
3995603,2452
3995605,2017
3995606,16045
3995607,2555
3995608,1215
3995610,1368
3995611,1882
3995616,1751
3995617,2437
3995618,1666
3995620,15959
3995623,2285
3995624,1209
3995625,2474
3995628,2752
3995632,2445
3995633,2199
3995637,2632
3995639,16094
3995640,1200
3995641,920
3995647,2304
3995648,2061
3995650,944
3995651,1400
3995652,2457
3995653,2188
3995654,1095
3995655,2253
3995657,853
3995660,3317
3995661,1715
3995664,1298
3995665,1900
3995666,1698
3995670,2203
3995673,2759
3995674,2423
3995675,2256
3995677,2568
3995686,1791
3995690,2293
3995691,1741
3995692,2661
3995699,2900
3995700,2603
3995701,1323
3995703,1760
3995705,2224
3995706,2193
3995708,3240
3995713,886
3995723,1407
3995725,1977
3995726,2416
3995727,2477
3995731,1889
3995733,2235
3995734,1770
3995738,2417
3995740,1304
3995741,2139
3995742,1424
3995743,926
3995746,889
3995749,1317
3995750,2183
3995751,2820
3995752,1999
3995757,1813
3995761,1747
3995762,1023
3995763,2449
3995764,1428
3995765,983
3995767,2608
3995768,16251
3995769,1087
3995770,989
3995773,1920
3995778,1696
3995780,2483
3995781,2243
3995783,1050
3995784,1908
3995786,1021
3995787,984
3995788,2443
3995789,1409
3995790,16022
3995796,2028
3995799,2208
3995801,2511
3995802,1879
3995803,15916
3995804,2431
3995805,16307
3995809,2138
3995810,1587
3995815,1892
3995819,16106
3995822,2866
3995823,1374
3995827,928
3995828,2599
3995834,861
3995836,2607
3995838,1388
3995840,1055
3995844,3337
3995845,1061
3995847,1566
3995848,1815
3995850,2161
3995852,1779
3995853,1723
3995854,2862
3995857,15985
3995858,15954
3995862,1313
3995863,2073
3995865,3302
3995868,1011
3995869,2805
3995870,1192
3995874,1026
3995875,878
3995877,15908
3995878,1369
3995879,882
3995881,1993
3995886,1375
3995892,2658
3995893,16324
3995895,2315
3995896,3257
3995902,1376
3995903,3338
3995905,2790
3995906,16325
3995907,1312
3995909,2034
3995912,2592
3995913,2237
3995914,2451
3995916,1403
3995917,2070
3995918,2039
3995919,1235
3995920,1786
3995923,1872
3995924,1758
3995928,2879
3995930,925
3995933,2738
3995935,968
3995937,932
3995938,1819
3995945,942
3995946,1419
3995947,1321
3995953,1651
3995954,1820
3995955,3352
3995956,1726
3995963,1385
3995966,16257
3995967,1878
3995968,1201
3995970,1372
3995971,1360
3995975,2883
3995978,1675
3995980,2584
3995982,15938
3995987,934
3995997,2198
3995998,1905
3996003,2248
3996010,896
3996012,1877
3996013,1228
3996014,16046
3996016,2225
3996018,1670
3996022,1278
3996025,16101
3996027,1997
3996031,1902
3996032,3144
3996038,1244
3996039,1227
3996042,2504
3996046,1767
3996047,2459
3996056,1294
3996059,1174
3996060,1371
3996061,2037
3996062,1284
3996064,2205
3996066,2823
3996067,1283
3996069,2721
3996078,1576
3996080,2743
3996083,993
3996084,1957
3996087,2673
3996090,1775
3996093,2191
3996097,1381
3996099,1275
3996102,16070
3996103,2057
3996105,16254
3996106,945
3996107,1931
3996114,2214
3996117,2598
3996118,1171
3996121,1677
3996122,1382
3996126,2172
3996127,2617
3996131,2289
3996132,1353
3996133,1898
3996134,1897
3996135,982
3996137,1410
3996139,899
3996141,2302
3996142,2192
3996143,1056
3996145,2691
3996147,2213
3996148,2220
3996150,1406
3996152,2263
3996153,1308
3996154,2455
3996157,1066
3996159,2715
3996160,1354
3996161,2669
3996163,2801
3996165,1578
3996166,1311
3996167,1777
3996168,2639
3996169,937
3996175,1405
3996177,1297
3996179,1759
3996180,1916
3996183,1761
3996184,1398
3996187,1817
3996188,2481
3996191,1397
3996192,883
3996196,1285
3996198,943
3996199,2600
3996201,3331
3996204,1427
3996205,935
3996208,1025
3996216,2175
3996217,866
3996221,1377
3996222,849
3996226,1411
3996227,1757
3996235,2007
3996247,2699
3996248,1379
3996255,1420
3996265,3188
3996269,2111
3996272,2456
3996274,1429
3996279,1980
3996281,2537
3996286,2212
3996295,3145
3996301,1391
3996308,1111
3996313,1430
3996318,1113
3996321,15897
3996329,887
3996331,1599
3996339,2239
3996352,1394
3996354,1662
3996359,1968
3996365,2847
3996369,2545
3996371,2727
3996372,2127
3996373,852
3996382,2114
3996393,1703
3996394,3250
3996397,1746
3996402,2614
3996404,1370
3996406,3163
3996409,1926
3996410,1914
3996412,2898
3996417,1185
3996420,16285
3996424,1395
3996425,2165
3996428,1601
3996430,3177
3996433,1206
3996437,2729
3996439,2329
3996444,2857
3996451,2564
3996455,2887
3996457,1600
3996459,2178
3996461,3251
3996462,2678
3996463,1970
3996464,1650
3996468,961
3996470,1996
3996471,2912
3996472,2652
3996476,833
3996477,2645
3996482,1784
3996484,2279
3996488,1241
3996489,1697
3996490,3243
3996492,2529
3996493,2221
3996495,2464
3996498,1964
3996499,999
3996503,1071
3996512,2115
3996514,1720
3996517,3330
3996518,1399
3996524,839
3996525,2215
3996528,2133
3996531,2544
3996535,2902
3996537,1975
3996539,1669
3996544,1923
3996547,1287
3996549,2047
3996550,1625
3996551,1401
3996561,1912
3996568,1606
3996571,1708
3996572,2693
3996574,1049
3996576,1186
3996577,2018
3996579,1402
3996581,2837
3996585,1045
3996587,2748
3996591,1423
3996593,2736
3996598,1736
3996599,1314
3996600,1653
3996607,1909
3996608,876
3996609,2576
3996616,2257
3996620,2314
3996623,1425
3996625,2534
3996630,1404
3996631,3150
3996633,2868
3996643,2695
3996644,3125
3996648,2540
3996650,1911
3996652,1873
3996661,2476
3996662,2580
3996670,835
3996671,2142
3996672,1431
3996675,978
3996676,2309
3996677,1176
3996678,1434
3996680,1286
3996682,893
3996683,1701
3996684,1874
3996685,2884
3996686,2572
3996689,1876
3996690,3301
3996691,871
3996693,1732
3996699,3147
3996701,2200
3996707,1432
3996708,2262
3996709,1191
3996711,2286
3996712,836
3996713,2642
3996716,1875
3996717,2428
3996720,2281
3996722,2489
3996727,2310
3996728,2196
3996730,2616
3996734,2688
3996738,951
3996741,2143
3996744,2559
3996748,1433
3996750,2120
3996752,2538
3996754,2218
3996755,1984
3996758,1593
3996759,1739
3996760,1290
3996761,2046
3996762,2516
3996767,1998
3996768,2875
3996779,1904
3996781,1175
3996786,2313
3996791,3297
3996794,2735
3996795,1591
3996798,1938
3996800,2628
3996803,2510
3996811,1057
3996813,1086
3996814,16356
3996821,2492
3996823,1773
3996826,1695
3996827,2242
3996828,16156
3996829,1691
3996832,1956
3996834,2882
3996837,1364
3996839,1315
3996845,2730
3996848,3276
3996850,2261
3996851,2579
3996854,1740
3996856,1170
3996862,3223
3996864,1954
3996866,2849
3996868,2254
3996870,1812
3996871,3283
3996873,2320
3996874,1078
3996876,1634
3996881,1729
3996885,2249
3996887,846
3996889,2785
3996892,2573
3996894,1745
3996896,1918
3996897,1383
3996898,868
3996905,2465
3996907,1602
3996909,1952
3996910,2904
3996914,1814
3996919,1628
3996920,2500
3996921,2146
3996923,1811
3996924,1094
3996926,2811
3996928,2833
3996929,1093
3996930,16258
3996932,2890
3996940,1352
3996941,2288
3996942,2718
3996945,1893
3996950,1788
3996952,988
3996953,1231
3996954,2467
3996959,998
3996960,898
3996961,2306
3996964,3241
3996966,2618
3996967,2216
3996968,2461
3996969,2539
3996972,15894
3996980,16337
3996981,2122
3996987,3336
3996988,2051
3996989,1636
3996990,3309
3996993,2687
3996994,921
3996996,3357
3996997,2518
3996999,863
3997004,16314
3997006,967
3997007,2322
3997008,1291
3997009,15899
3997010,1953
3997012,2764
3997014,2119
3997024,877
3997027,1027
3997028,2020
3997030,879
3997034,1088
3997039,2626
3997046,1899
3997049,2217
3997055,2722
3997065,2167
3997067,1183
3997068,2157
3997069,1211
3997073,1204
3997076,1054
3997078,2635
3997079,2886
3997080,2861
3997082,2266
3997084,2843
3997085,2724
3997087,16204
3997100,2760
3997103,2332
3997110,1031
3997114,1109
3997116,1637
3997117,2894
3997125,1189
3997126,2112
3997127,1310
3997131,2643
3997134,3354
3997138,1724
3997141,2287
3997142,1408
3997144,2723
3997145,2526
3997146,3260
3997151,1642
3997154,1324
3997155,2744
3997158,1105
3997159,2624
3997162,2685
3997164,1355
3997165,2876
3997171,1942
3997176,15940
3997177,2585
3997186,2056
3997188,2844
3997190,1965
3997191,1181
3997193,894
3997198,16076
3997200,2110
3997204,1010
3997208,2809
3997209,3233
3997212,966
3997218,1018
3997226,3294
3997231,2897
3997233,1184
3997234,2525
3997235,1009
3997236,2550
3997237,1643
3997239,2753
3997241,1053
3997245,991
3997249,1362
3997250,2795
3997256,1236
3997259,1774
3997269,1386
3997271,2179
3997275,2236
3997276,2498
3997279,2781
3997283,1903
3997284,2108
3997287,1169
3997289,2433
3997290,1046
3997298,948
3997299,2586
3997300,16165
3997303,2578
3997307,2827
3997310,1595
3997316,2330
3997319,965
3997321,908
3997322,1032
3997323,1937
3997325,1716
3997326,2625
3997329,1930
3997330,1387
3997331,841
3997338,1949
3997343,2170
3997347,2747
3997349,2778
3997350,1693
3997351,1574
3997355,1944
3997358,1034
3997360,2535
3997365,1925
3997370,1663
3997376,865
3997377,1644
3997383,1945
3997384,939
3997390,2651
3997391,1223
3997392,2513
3997396,1943
3997397,1714
3997400,2601
3997404,2780
3997405,2054
3997406,3335
3997407,1168
3997409,975
3997411,3252
3997412,1612
3997415,1182
3997416,2622
3997419,3325
3997421,2726
3997422,880
3997423,1178
3997426,2547
3997427,2711
3997428,2754
3997434,2173
3997437,1755
3997441,1590
3997443,1688
3997444,1976
3997445,957
3997447,2307
3997451,1096
3997452,3253
3997453,1330
3997455,1065
3997459,3353
3997465,2799
3997467,856
3997471,1596
3997473,3234
3997475,2071
3997476,1030
3997478,890
3997480,2439
3997481,1756
3997485,2147
3997488,2675
3997490,1281
3997491,2506
3997492,1332
3997494,16221
3997495,1062
3997500,2542
3997501,881
3997507,2012
3997508,1044
3997511,1303
3997513,2751
3997514,1610
3997515,2582
3997516,2278
3997522,931
3997525,2870
3997526,1847
3997527,2779
3997533,1277
3997540,1581
3997541,2788
3997547,2318
3997548,16340
3997551,1036
3997553,16065
3997554,2574
3997558,2294
3997559,3308
3997561,1288
3997564,1917
3997567,3198
3997568,2469
3997572,2432
3997573,1092
3997574,1987
3997575,1225
3997576,922
3997580,2808
3997583,2583
3997585,1655
3997586,2575
3997588,2536
3997589,1245
3997592,2627
3997595,1296
3997596,1884
3997597,16064
3997598,1309
3997600,2204
3997604,2692
3997605,3215
3997609,3273
3997614,2152
3997617,1712
3997621,1226
3997623,958
3997625,1727
3997626,1373
3997627,1299
3997628,2177
3997629,2609
3997631,2880
3997632,1329
3997633,2846
3997643,1994
3997645,1577
3997646,2640
3997647,1618
3997649,16286
3997650,2063
3997655,16110
3997656,16207
3997657,1273
3997661,1648
3997663,2453
3997665,2792
3997666,3236
3997667,2435
3997671,918
3997673,2060
3997675,2655
3997678,2284
3997680,1318
3997682,2499
3997684,16109
3997685,1766
3997686,2644
3997689,2913
3997691,1280
3997695,1322
3997696,1958
3997697,2832
3997698,1104
3997700,2533
3997705,1950
3997707,15891
3997708,2136
3997713,1219
3997718,3284
3997720,3313
3997721,1252
3997722,1611
3997723,2865
3997726,1363
3997728,2856
3997729,1710
3997731,897
3997734,2905
3997739,2755
3997740,2305
3997747,2035
3997749,16175
3997751,2817
3997752,875
3997753,2128
3997754,1282
3997755,2524
3997756,2831
3997757,1083
3997763,1680
3997764,3293
3997765,2230
3997766,2163
3997767,2522
3997768,2548
3997769,985
3997771,1106
3997773,842
3997774,2001
3997778,2517
3997779,2519
3997781,2495
3997784,1074
3997785,16149
3997787,2323
3997790,2712
3997791,2520
3997797,1012
3997801,2002
3997802,2101
3997807,2424
3997811,1668
3997813,1988
3997815,1110
3997816,2275
3997821,2705
3997823,2757
3997827,1233
3997829,2493
3997830,1249
3997831,2180
3997834,2171
3997835,2682
3997838,2295
3997839,2255
3997840,1657
3997841,854
3997845,15949
3997846,2737
3997848,1020
3997850,2521
3997852,2321
3997856,3334
3997857,3351
3997858,1707
3997859,3159
3997860,1316
3997863,1414
3997865,2030
3997867,1713
3997868,2720
3997869,2917
3997870,1190
3997871,2702
3997873,990
3997876,997
3997879,1238
3997883,3310
3997884,1565
3997891,1690
3997895,974
3997896,2252
3997897,2050
3997898,1603
3997900,1635
3997901,2647
3997903,2660
3997904,994
3997905,2648
3997908,2709
3997912,1961
3997913,2052
3997914,1582
3997915,2825
3997917,2036
3997918,850
3997920,2756
3997921,1709
3997922,2867
3997923,1821
3997927,2033
3997931,2717
3997935,851
3997939,1783
3997942,2581
3997944,2703
3997945,2003
3997946,1090
3997947,1667
3997952,2613
3997955,1199
3997956,2041
3997957,1887
3997959,1583
3997961,949
3997965,2324
3997966,2484
3997967,2132
3997968,3141
3997970,2130
3997972,1682
3997973,2546
3997977,2497
3997979,2109
3997981,1929
3997986,1000
3997991,1580
3997994,2620
3997996,1679
3997997,1731
3997998,3208
3997999,2299
3998001,2528
3998007,2069
3998009,953
3998011,2725
3998012,2463
3998015,16252
3998016,1735
3998025,1019
3998027,1152
3998028,15900
3998029,1616
3998031,2739
3998035,1955
3998039,16366
3998041,2565
3998043,2031
3998057,1974
3998060,16170
3998061,1292
3998062,1692
3998066,1180
3998070,1128
3998072,1188
3998073,16084
3998074,1748
3998077,1632
3998078,2226
3998082,1039
3998083,16005
3998085,2507
3998086,2078
3998093,1614
3998098,16052
3998099,970
3998100,2563
3998101,1392
3998102,1300
3998103,2311
3998104,1205
3998106,2082
3998109,16220
3998112,2589
3998113,16075
3998118,1418
3998119,16215
3998120,2915
3998122,1972
3998123,16167
3998126,1719
3998128,1639
3998129,2621
3998133,1289
3998135,2731
3998137,16294
3998139,2004
3998140,16071
3998141,1059
3998143,2059
3998145,1608
3998149,16329
3998152,16355
3998154,15918
3998155,2501
3998158,16186
3998161,1721
3998162,2485
3998164,15931
3998166,870
3998168,16336
3998169,16335
3998172,2815
3998173,1351
3998176,16260
3998177,2462
3998178,1079
3998179,2471
3998180,16287
3998181,2000
3998182,16303
3998183,1359
3998186,15892
3998187,16227
3998188,2561
3998189,2508
3998190,1138
3998194,2181
3998195,16213
3998196,15976
3998197,2654
3998198,2853
3998200,15973
3998201,888
3998202,2631
3998203,2512
3998205,2158
3998206,2247
3998210,2296
3998213,2885
3998215,16292
3998217,2842
3998220,2317
3998223,16239
3998226,2910
3998231,2824
3998232,3277
3998233,15952
3998234,1890
3998237,1047
3998241,1293
3998246,15912
3998247,2442
3998250,2704
3998252,1048
3998258,1068
3998262,2153
3998263,16261
3998265,2328
3998268,1986
3998269,1694
3998273,2719
3998274,1143
3998275,2319
3998277,2475
3998278,1107
3998279,1155
3998281,15994
3998282,1951
3998283,16210
3998284,16184
3998286,1060
3998289,16185
3998298,2241
3998300,2878
3998301,2327
3998302,1597
3998303,16030
3998304,16274
3998308,15903
3998309,16182
3998312,2509
3998314,2062
3998315,16166
3998317,1885
3998319,1325
3998322,1886
3998323,16040
3998326,1645
3998327,2841
3998328,996
3998330,1652
3998331,1959
3998334,16180
3998338,3183
3998339,2468
3998340,832
3998343,2800
3998344,1247
3998345,16297
3998346,924
3998347,1615
3998350,16188
3998351,15913
3998353,1718
3998355,1744
3998357,16178
3998358,1630
3998360,1932
3998361,2587
3998363,1212
3998364,3242
3998366,16086
3998368,16235
3998371,16151
3998372,2855
3998376,15887
3998377,16074
3998379,2244
3998380,16153
3998382,16179
3998383,2874
3998385,16090
3998387,1240
3998388,2710
3998392,1633
3998395,16295
3998397,15982
3998398,1380
3998399,1619
3998400,2135
3998401,2006
3998402,2803
3998404,1075
3998405,16177
3998406,1687
3998407,2818
3998408,2209
3998410,15936
3998412,3329
3998414,1730
3998415,923
3998416,16219
3998417,2821
3998418,1978
3998423,16183
3998424,1927
3998425,2066
3998427,2638
3998428,1946
3998434,2084
3998435,2090
3998437,16034
3998438,831
3998441,3307
3998445,2804
3998446,2656
3998448,1145
3998449,3204
3998451,16308
3998454,16290
3998456,2259
3998457,16271
3998461,1198
3998463,1752
3998464,1940
3998465,16035
3998470,2777
3998480,16374
3998483,16072
3998484,16190
3998486,16241
3998494,3278
3998497,16089
3998500,1144
3998505,16377
3998507,2733
3998508,16095
3998510,2914
3998512,2794
3998517,15986
3998518,15969
3998519,16246
3998520,16027
3998521,3326
3998522,16331
3998523,16130
3998525,16017
3998526,1051
3998527,16375
3998528,16198
3998529,2454
3998530,16332
3998532,15937
3998533,2863
3998536,16280
3998537,16217
3998541,1586
3998544,16142
3998547,2440
3998549,15935
3998551,16376
3998552,2602
3998553,2159
3998554,16063
3998556,3162
3998558,16051
3998560,16255
3998562,16023
3998564,16033
3998566,16087
3998567,15951
3998568,2245
3998572,16104
3998573,1130
3998574,16316
3998577,1594
3998579,16326
3998580,2763
3998581,2260
3998583,2258
3998586,16137
3998590,16230
3998591,15987
3998592,16144
3998593,16387
3998594,16214
3998596,15945
3998599,16315
3998600,1702
3998601,16100
3998602,16238
3998603,2826
3998604,16093
3998605,16134
3998608,16092
3998610,1193
3998611,1210
3998614,15955
3998618,2773
3998619,15988
3998622,16318
3998624,2596
3998627,16723
3998630,2145
3998632,1754
3998633,15944
3998634,16342
3998636,15919
3998637,2150
3998640,16282
3998645,1328
3998647,1005
3998648,15990
3998649,16317
3998651,2331
3998652,2076
3998653,1584
3998654,2107
3998655,1134
3998658,16163
3998660,16281
3998661,1122
3998662,2009
3998668,1785
3998669,16147
3998670,16353
3998671,15964
3998672,16306
3998673,16176
3998674,15991
3998677,16138
3998681,16202
3998684,16334
3998691,15943
3998693,15965
3998697,16354
3998701,1617
3998702,2005
3998706,2591
3998707,16370
3998708,16379
3998709,2892
3998710,16105
3998713,16283
3998714,2272
3998716,15966
3998717,16218
3998720,1326
3998721,16012
3998726,16041
3998728,2896
3998731,16362
3998734,16344
3998736,2772
3998737,15928
3998739,1172
3998743,843
3998746,1097
3998747,1989
3998748,1763
3998749,16365
3998750,1684
3998751,1305
3998754,16216
3998760,2816
3998761,15962
3998763,16222
3998764,2105
3998765,16062
3998770,2207
3998772,3186
3998773,3143
3998777,2503
3998781,2762
3998782,15971
3998783,15922
3998785,1196
3998787,2766
3998789,15942
3998790,16154
3998791,2227
3998794,981
3998797,16148
3998798,1114
3998799,16240
3998801,16079
3998802,2543
3998807,16339
3998808,15961
3998812,1659
3998813,16121
3998817,16028
3998819,16242
3998820,16006
3998823,1654
3998824,2701
3998825,16243
3998830,16300
3998835,16381
3998836,2092
3998837,15972
3998838,3239
3998839,16010
3998840,16312
3998842,16209
3998843,16047
3998844,16352
3998845,15925
3998846,16360
3998847,1081
3998853,16211
3998855,1901
3998857,16372
3998859,16244
3998861,15974
3998862,16007
3998864,16351
3998865,16103
3998867,16081
3998868,2594
3998869,16136
3998872,1936
3998876,1416
3998878,15967
3998880,16026
3998885,2659
3998889,16263
3998896,2605
3998899,1076
3998900,16296
3998901,15968
3998902,16155
3998905,16195
3998906,15939
3998908,1301
3998913,1646
3998914,2065
3998915,2806
3998916,1629
3998917,16223
3998920,16347
3998921,1685
3998924,16322
3998925,15946
3998927,2839
3998928,15921
3998929,16127
3998930,16256
3998931,2909
3998933,15993
3998936,16194
3998937,1749
3998938,1013
3998945,1080
3998946,2166
3998949,16321
3998950,16386
3998951,16053
3998952,15956
3998954,15923
3998955,16234
3998960,2858
3998961,2155
3998964,1818
3998968,16269
3998972,15963
3998975,3272
3998976,2415
3998977,2706
3998980,16058
3998981,2819
3998983,1136
3998984,16055
3998985,16349
3998986,2553
3998987,1973
3998988,16004
3998989,1135
3998991,16298
3998993,2976
3998997,16150
3998998,1195
3998999,2888
3999001,16123
3999002,16323
3999003,3286
3999004,16002
3999008,3274
3999011,2075
3999012,3174
